"ID knižnice","Názov knižnice","Ulica","PSČ","Mesto","Kraj","Krajina","Zemepisná šírka","Zemepisná dĺžka","Čas otvorenia"
"30","Novodvorská","Novodvorská 1013/151","140 00","Praha 4","Hlavní město Praha","Česko","50.024844","14.432905","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"25","cd","Štúrova 1282/12","140 00","Praha 4","Hlavní město Praha","Česko","50.023972","14.451789","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"45","Vysočany","Zbuzkova 285/34","190 00","Praha 9","Hlavní město Praha","Česko","50.111288","14.501039","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"5","Bohnice","Těšínská 600/4","181 00","Praha 8","Hlavní město Praha","Česko","50.128879","14.418651","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00; Saturday: 09:00–13:00"
"10","Ládví","Burešova 1661/2","182 00","Praha 8","Hlavní město Praha","Česko","50.127471","14.470279","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00; Saturday: 09:00–13:00"
"20","Chodov","Jírovcovo náměstí 1782/1","148 00","Praha 11","Hlavní město Praha","Česko","50.024191","14.491924","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"37","Prosek","Měšická 806/3","190 00","Praha 9","Hlavní město Praha","Česko","50.123006","14.500268","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"35","Petřiny","U Petřin 2511/1","160 00","Praha 6","Hlavní město Praha","Česko","50.0857136","14.3417793","Monday: 13:00–19:00; Tuesday: 09:00–19:00; Wednesday: 09:00–19:00; Thursday: 09:00–19:00; Friday: 09:00–19:00; Saturday: 10:00–17:00"
"2","Barrandov","Wassermannova 926/16","152 00","Praha 5","Hlavní město Praha","Česko","50.028402","14.36824","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"16","Hloubětín","Hloubětínská 1138/5","198 00","Praha 14","Hlavní město Praha","Česko","50.1039175","14.5345767","Monday: 13:00–19:00; Tuesday: 13:00–19:00; Wednesday: 13:00–19:00; Thursday: 13:00–19:00; Friday: 09:00–16:00; Saturday: 09:00–13:00"
"29","Modřany","Vazovova 3229/1","143 00","Praha 12","Hlavní město Praha","Česko","50.005798","14.433956","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"31","Opatov","Opatovská 1754/14","140 00","Praha 11","Hlavní město Praha","Česko","50.025599","14.518434","Monday: 13:00–19:00; Tuesday: 09:00–19:00; Wednesday: 09:00–19:00; Thursday: 09:00–19:00; Friday: 09:00–19:00; Saturday: 09:00–15:00"
"42","Velká Chuchle","Starochuchelská 20/7","159 00","Praha 16","Hlavní město Praha","Česko","50.011705","14.385132","Tuesday: 13:00–18:00; Thursday: 10:00–18:00"
"18","Hostivař","Golfová 910/10","102 00","Praha 15","Hlavní město Praha","Česko","50.049002","14.547006","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"27","Lužiny","Archeologická 2256/1","155 00","Praha 13","Hlavní město Praha","Česko","50.044235","14.331546","Monday: 13:00–19:00; Tuesday: 09:00–19:00; Wednesday: 09:00–19:00; Thursday: 09:00–19:00; Friday: 09:00–19:00; Saturday: 09:00–13:00"
"40","Stodůlky","Kovářova 1615/4","155 00","Praha 13","Hlavní město Praha","Česko","50.049051","14.317017","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"11","Dědina","Žukovského 888/2","161 00","Praha 6","Hlavní město Praha","Česko","50.090728","14.308937","Monday: 13:00–18:00; Tuesday: 09:00–16:00; Wednesday: 12:00–18:00; Thursday: 12:00–18:00; Friday: 09:00–16:00"
"79","Rajská zahrada","Generála Janouška 1060/2","198 00","Praha 14","Hlavní město Praha","Česko","50.103078","14.565272","Monday: 13:00–19:00; Tuesday: 09:00–16:00; Wednesday: 12:00–19:00; Thursday: 12:00–19:00; Friday: 09:00–16:00"
"80","Kiosek CČM","Chlumecká 765/6","198 19","Praha 14","Hlavní město Praha","Česko","50.1073914","14.5846047","Monday: 09:00–21:00; Tuesday: 09:00–21:00; Wednesday: 09:00–21:00; Thursday: 09:00–21:00; Friday: 09:00–21:00; Saturday: 09:00–21:00; Sunday: 09:00–21:00"
